id,psd_size_at_d10_mm,psd_size_at_d20_mm,psd_size_at_d30_mm,psd_size_at_d40_mm,psd_size_at_d50_mm,psd_size_at_d60_mm,psd_size_at_d70_mm,psd_size_at_d80_mm,psd_size_at_d90_mm,psd_size_at_d95_mm,psd_size_at_d98_mm,psd_has_sedimentation,psd_passing_at_0_002mm_pct,psd_passing_at_0_063mm_pct,psd_passing_at_2mm_pct,proctor_diam_mm,grain_density_g_cm3,hyd_cond_kf_m_s,hyd_cond_hyd_gradient,atterberg_liquid_limit_pct,atterberg_plastic_limit_pct,loss_on_ignition_pct,psd_C_U,psd_C_C,psd_fraction_clay,psd_fraction_silt,psd_fraction_sand,psd_fraction_gravel,log_diff_psd_size_at_d20_mm,log_diff_psd_size_at_d30_mm,log_diff_psd_size_at_d40_mm,log_diff_psd_size_at_d50_mm,log_diff_psd_size_at_d60_mm,log_diff_psd_size_at_d70_mm,log_diff_psd_size_at_d80_mm,log_diff_psd_size_at_d90_mm,log_diff_psd_size_at_d95_mm,log_diff_psd_size_at_d98_mm,atterberg_is_missing,kf_is_missing,loi_is_missing,log10_kf,atterberg_plasticity_index,psd_C_U_is_low,skempton_index,hazen_interaction,casagrande_interaction,proctor_mdd_g_cm3,proctor_owc_pct
0,0.136773,0.315214,0.547515,0.93393,1.788142,3.313938,7.21401,12.517275,20.160863,25.20054,28.810465,1.0,0.68,4.48,51.68,150.0,2.65,2.9640374399999987e-05,16.354999999999997,0.0,0.0,0.8040000000000002,24.22947511570266,0.6613742647625656,0.68,3.8000000000000003,47.2,48.32,0.362605125210666,0.6023956489201205,0.834313953265347,1.1164016311311489,1.3843440060969345,1.7221763670901185,1.9615094207210313,2.168508745545846,2.26540947408416,2.3235498949282727,1,1,1,-4.528116314902322,0.0,0,0.0,-5.253326565323654,14.6,2.068,8.06
1,0.014579,0.06206,0.119258,0.221877,0.42355,1.022249,2.978369,6.081199,10.622063,13.657046,15.879819,1.0,4.27,20.23,65.49,100.0,2.69,7.543255234385963e-06,22.536199999999997,31.31440000000001,18.608199999999997,1.3,70.117909321627,0.9543125017655448,4.27,15.96,45.25999999999999,34.510000000000005,0.6290840352892422,0.9127597858355966,1.1823845491897815,1.4631769501182936,1.8458289584255083,2.310250766972421,2.620261479456367,2.8624811369546808,2.9716290362537454,3.037117812022021,1,1,0,-5.122441197201187,12.706200000000013,0,0.5425547400000005,-6.380609267779672,4.446688000000007,2.037,10.42
2,0.003243,0.022301,0.087024,0.156595,0.217595,0.323793,0.512853,1.546115,10.921905,19.931186,26.230078,1.0,8.84,27.19,81.4,100.0,2.722,1.4e-10,30.0,26.45,13.75,1.8519999999999988,99.84366327474561,7.212132196940742,8.84,18.35,54.21000000000001,18.599999999999994,0.8373773890274143,1.4286920927981233,1.6838309424648128,1.8267019630454588,1.9993205069419293,2.1990459516485146,2.678294844924832,3.5273514459990647,3.788586193375763,3.9078526333744614,0,0,1,-9.853871964321762,12.7,0,1.12268,-11.528626742376591,7.9915,2.051,10.94
3,0.000355,0.000859,0.00208,0.004772,0.009031,0.015228,0.025404,0.04192,0.151357,0.367355,0.809442,1.0,29.56,84.32,99.61,100.0,2.67,1.1e-09,3.0,47.63,22.44,4.3,42.89577464788732,0.8003048498503496,29.56,54.75999999999999,15.290000000000006,0.39000000000000057,0.3837648107761482,0.7678349819076673,1.12847208194321,1.4055074892225718,1.6324145150872353,1.8546737510119427,2.072192920920576,2.629774158072142,3.0148576022662614,3.3579573820820046,0,0,0,-8.958607314841775,25.19,0,7.446164,-9.72613693639407,5.020099999999999,1.648,20.31
4,0.00036,0.004868,0.010546,0.015848,0.021282,0.026753,0.03351,0.042328,0.067946,0.203424,0.67814,1.0,15.09,89.55,99.28,100.0,2.67,1.7143146718765318e-07,9.8366,30.50839999999998,16.384399999999992,1.7,74.31388888888888,11.547834303110347,15.09,74.46,9.730000000000004,0.7199999999999989,1.13104806879074,1.466785266228158,1.6436719617632034,1.771709938088299,1.8710699887821949,1.9688719270679842,2.0703252477567133,2.2758613940163004,2.7520996889830758,3.275016861168976,1,1,0,-6.765909457957482,14.123999999999988,0,2.1313115999999983,-9.028005595538962,6.452868000000002,1.82,15.76
5,0.019744,0.142683,0.285699,0.353478,0.437337,0.544121,0.683417,0.858374,1.209994,1.615148,1.920746,1.0,0.0,15.72,98.7,100.0,2.67,5.245e-08,12.51,24.341399999999993,15.139800000000001,0.7,27.558802674230144,7.597781690025317,0.0,15.72,82.98,1.2999999999999972,0.8589370897243592,1.160473577920243,1.2529272467106767,1.3453810791400589,1.4402603451923892,1.5392506353205497,1.6382414120992264,1.7873480744316066,1.9127771816132721,1.9880347950791615,1,0,0,-7.280254507470423,9.201599999999992,0,0.0,-8.998128686919141,6.032377999999998,2.056,10.13
6,0.007377,0.068729,0.183111,0.282328,0.381776,0.517847,0.720926,1.008259,2.277577,5.454203,11.328627,0.0,4.16,19.61,89.16,100.0,2.63,5.334571926797384e-07,30.015,24.596799999999995,13.853400000000008,1.5699999999999996,70.19750576114951,8.777030766308084,4.16,15.45,69.55,10.840000000000003,0.9692602415558547,1.3948346509351073,1.5828741681652474,1.7139288399309154,1.8463216811694962,1.990010905059928,2.135692323871802,2.4895932850010674,2.8688515144558413,3.1862974942376416,1,1,1,-6.272900424840959,10.743399999999987,0,0.4469254399999995,-8.211420907952668,7.387735999999991,2.11,8.28
7,0.272051,0.350135,0.450631,0.560024,0.679114,0.823528,0.998651,1.385701,1.924588,2.74441,3.516315,0.0,0.0,1.49,91.17,100.0,2.65,2.72246e-06,30.0,0.0,0.0,0.31400000000000006,3.027108887671797,0.906386509130785,0.0,1.49,89.68,8.829999999999998,0.10958519902183894,0.21917073797033693,0.3135563126115959,0.3972923569648451,0.48102804317807285,0.5647634146069744,0.7070192037612891,0.8496874469802804,1.0037986665102197,1.1114374466778145,1,0,1,-5.565038492437897,0.0,1,0.0,-5.784208890481575,14.6,1.744,9.91
8,0.19551,0.42888,0.72635,1.17757,2.2243,4.16393,7.44262,14.38462,29.44681,42.131623,52.233622,0.0,0.0,0.0,48.33,150.0,2.67,5.0889009400000025e-05,14.626199999999997,0.0,0.0,0.4940000000000001,21.297785279525343,0.6480663711833253,0.0,0.0,48.33,51.67,0.3411668185019883,0.5699769651509194,0.7798177572492739,1.056024386132675,1.328334444242049,1.5805568699438013,1.866729417860201,2.1778692784355203,2.3334392136837816,2.4267811661484204,1,1,1,-4.293376002974239,0.0,0,0.0,-4.9757096399782155,14.6,2.15,7.96
9,0.001398,0.008234,0.022902,0.052877,0.132163,0.215478,0.295641,0.376182,0.478665,0.700775,0.96262,1.0,11.63,41.87,99.42,100.0,2.65,4.0212198691693596e-08,29.432399999999998,28.3,15.8,2.6,154.13304721030045,1.741152109491117,11.63,30.239999999999995,57.550000000000004,0.5799999999999983,0.7701036912518044,1.2143662389230796,1.5777596358772092,1.9756027168343377,2.1878957644962074,2.3252574911920583,2.4298908396672783,2.534524501606908,2.7000714286628726,2.837947709201369,0,1,0,-7.395642180227992,12.5,0,1.45375,-8.935849562731601,6.441,1.961,11.13
