id,psd_size_at_d10_mm,psd_size_at_d20_mm,psd_size_at_d30_mm,psd_size_at_d40_mm,psd_size_at_d50_mm,psd_size_at_d60_mm,psd_size_at_d70_mm,psd_size_at_d80_mm,psd_size_at_d90_mm,psd_size_at_d95_mm,psd_size_at_d98_mm,psd_has_sedimentation,psd_passing_at_0_002mm_pct,psd_passing_at_0_063mm_pct,psd_passing_at_2mm_pct,proctor_mdd_g_cm3,proctor_owc_pct,proctor_diam_mm,grain_density_g_cm3,hyd_cond_kf_m_s,hyd_cond_hyd_gradient,atterberg_liquid_limit_pct,atterberg_plastic_limit_pct,loss_on_ignition_pct
201,0.14980444426135622,0.23696960669466388,0.37510009526241017,0.5966435108356707,0.6315610490810083,0.6710870862458413,0.7927565609091437,1.2354478855582995,2.6946108426653645,4.1924418084412585,9.433502848056426,True,0.0,34.78535312841731,85.90290011104568,1.957932705953283,10.600075929581786,100,2.67,,,,,
202,0.011302171231616748,0.036119997814515976,0.13941263858296263,0.2838662825819342,0.502268133374921,0.8682523788235901,3.425949209719058,11.278212519309115,12.382688667208798,14.261819072586038,20.946789448728303,True,4.16,8.461442615815669,63.80429885463402,2.0512404042463923,10.22903745748458,150,2.65,2.0715750481512597e-09,30.0,,,3.5
203,0.2219939550341107,0.35393481856197206,0.5431483672262211,0.8955317152794221,1.2574416273984987,1.4909762651821679,1.9289341555644315,2.3689621221779418,4.322305538869176,10.740320870734038,15.44128506345333,True,0.0,3.773251072466891,78.68,2.101,8.45,150,2.65,,,,,
204,0.002304787584084607,0.014867854251362568,0.07184403445417553,0.2252205357549773,0.3527009507065094,0.5254610219127709,0.9439278783754101,1.5898466636102109,4.196077160066716,6.987651904998062,10.973309697296456,True,0.0,35.410557401193515,84.21624255884878,2.058952779917497,10.865060831461225,100,2.67,,,,,
205,0.0012024317605334866,0.003101853487608362,0.0071150717850805385,0.011391651077332978,0.022498080981378912,0.06661821846321368,0.21943500282235193,0.43599607788340916,0.6223776874462388,0.9918144631146871,2.0933615085567645,True,11.79985371054284,15.045246453832476,98.0781164289297,1.746,13.89523475803897,100,2.65,,,48.49902246424862,19.308105337114924,2.8486293641296285
206,0.0018242145369635426,0.008234252936466206,0.028673168573772646,0.1942750811479932,0.44712847284464297,0.8688297299717425,2.9946309953047816,5.472428990172519,6.402001697312675,6.572708833419254,9.419691652610238,False,7.18613535867657,17.669698312018145,66.69304921438548,1.882,12.100691844274456,150,2.721611088749217,,,,,
207,0.0026608843401765545,0.008323795880050692,0.01706178096637683,0.025640273386514284,0.13174571511726252,0.2884720693025034,0.5148317321638785,0.5466800779059321,0.6283565719017813,0.7002953609757087,0.9827137973178963,True,11.503497147617562,60.150085866080346,94.56950163974285,1.711,12.614292032317667,100,2.7,,,,,
208,0.039003238177597946,0.14925947814194132,0.18964955288057325,0.31871435965404066,0.324542269645628,0.359276063579362,0.3868377513558812,0.4984097189760451,2.5165431631390045,6.592354825820393,11.459600221606811,True,7.428822727027474,32.31050378793367,86.64193427856122,2.0729615452286314,9.630595159421315,150,2.65,7.823594873821891e-11,30.0,28.09371057484726,18.08842260997236,
209,0.013210334404808073,0.2535859838466281,0.33938140743059975,0.36450842295998576,0.4027305855028153,0.4622851603193231,0.6313156640242954,0.9469430121735982,2.6245726815054455,8.007408500819773,16.75595379116989,True,0.0,19.339794762485678,86.53287181578082,1.9286268352373508,9.247906671815755,100,2.6512340278856525,,,,,
210,0.18846996275467878,0.40601036304511745,0.6381538300429688,0.9269519148370229,1.4184857814609917,1.773534713014489,2.8200458101436494,3.0560311495519352,6.05788445933112,12.022166465736522,29.627443214824705,True,0.0,5.186914677408754,49.06786471281079,2.051219244344282,8.51046001917551,150,2.65,,,,,
